instance,run,a,b,c_ab,c_ba
sdmk01,1,EDA-TS,EDA,1.0,0.0
sdmk01,1,EDA-TS,NSGA-II,1.0,0.0
sdmk01,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk01,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk01,1,EDA,NSGA-II,1.0,0.0
sdmk01,1,EDA,EDA-VNS,0.0,0.6666666666666666
sdmk01,1,EDA,H-GA-TS,0.5,0.3333333333333333
sdmk01,1,NSGA-II,EDA-VNS,0.0,0.6
sdmk01,1,NSGA-II,H-GA-TS,0.5,0.0
sdmk01,1,EDA-VNS,H-GA-TS,0.5,0.0
sdmk01,2,EDA-TS,EDA,1.0,0.0
sdmk01,2,EDA-TS,NSGA-II,1.0,0.0
sdmk01,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk01,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk01,2,EDA,NSGA-II,0.8571428571428571,0.0
sdmk01,2,EDA,EDA-VNS,0.0,1.0
sdmk01,2,EDA,H-GA-TS,0.0,1.0
sdmk01,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk01,2,NSGA-II,H-GA-TS,0.0,1.0
sdmk01,2,EDA-VNS,H-GA-TS,0.5,0.0
sdmk02,1,EDA-TS,EDA,1.0,0.0
sdmk02,1,EDA-TS,NSGA-II,1.0,0.0
sdmk02,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk02,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk02,1,EDA,NSGA-II,0.5,0.8333333333333334
sdmk02,1,EDA,EDA-VNS,0.0,1.0
sdmk02,1,EDA,H-GA-TS,0.0,1.0
sdmk02,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk02,1,NSGA-II,H-GA-TS,0.0,1.0
sdmk02,1,EDA-VNS,H-GA-TS,1.0,0.0
sdmk02,2,EDA-TS,EDA,1.0,0.0
sdmk02,2,EDA-TS,NSGA-II,1.0,0.0
sdmk02,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk02,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk02,2,EDA,NSGA-II,0.75,0.0
sdmk02,2,EDA,EDA-VNS,0.0,1.0
sdmk02,2,EDA,H-GA-TS,0.0,1.0
sdmk02,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk02,2,NSGA-II,H-GA-TS,0.0,1.0
sdmk02,2,EDA-VNS,H-GA-TS,0.0,0.3333333333333333
sdmk03,1,EDA-TS,EDA,1.0,0.0
sdmk03,1,EDA-TS,NSGA-II,1.0,0.0
sdmk03,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk03,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk03,1,EDA,NSGA-II,0.0,0.5
sdmk03,1,EDA,EDA-VNS,0.0,1.0
sdmk03,1,EDA,H-GA-TS,0.0,1.0
sdmk03,1,NSGA-II,EDA-VNS,0.0,0.5
sdmk03,1,NSGA-II,H-GA-TS,0.0,1.0
sdmk03,1,EDA-VNS,H-GA-TS,0.0,0.0
sdmk03,2,EDA-TS,EDA,1.0,0.0
sdmk03,2,EDA-TS,NSGA-II,1.0,0.0
sdmk03,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk03,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk03,2,EDA,NSGA-II,0.0,0.5
sdmk03,2,EDA,EDA-VNS,0.0,1.0
sdmk03,2,EDA,H-GA-TS,0.0,1.0
sdmk03,2,NSGA-II,EDA-VNS,0.0,0.5
sdmk03,2,NSGA-II,H-GA-TS,0.0,1.0
sdmk03,2,EDA-VNS,H-GA-TS,0.5,0.0
sdmk04,1,EDA-TS,EDA,1.0,0.0
sdmk04,1,EDA-TS,NSGA-II,1.0,0.0
sdmk04,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk04,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk04,1,EDA,NSGA-II,0.6666666666666666,0.5
sdmk04,1,EDA,EDA-VNS,0.0,1.0
sdmk04,1,EDA,H-GA-TS,0.3333333333333333,0.5
sdmk04,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk04,1,NSGA-II,H-GA-TS,0.3333333333333333,0.3333333333333333
sdmk04,1,EDA-VNS,H-GA-TS,1.0,0.0
sdmk04,2,EDA-TS,EDA,1.0,0.0
sdmk04,2,EDA-TS,NSGA-II,1.0,0.0
sdmk04,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk04,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk04,2,EDA,NSGA-II,0.5714285714285714,0.2
sdmk04,2,EDA,EDA-VNS,0.0,1.0
sdmk04,2,EDA,H-GA-TS,0.0,1.0
sdmk04,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk04,2,NSGA-II,H-GA-TS,0.0,0.8571428571428571
sdmk04,2,EDA-VNS,H-GA-TS,0.3333333333333333,0.0
sdmk05,1,EDA-TS,EDA,1.0,0.0
sdmk05,1,EDA-TS,NSGA-II,1.0,0.0
sdmk05,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk05,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,1,EDA,NSGA-II,0.5,0.3333333333333333
sdmk05,1,EDA,EDA-VNS,0.6,0.0
sdmk05,1,EDA,H-GA-TS,0.75,0.6666666666666666
sdmk05,1,NSGA-II,EDA-VNS,0.4,0.16666666666666666
sdmk05,1,NSGA-II,H-GA-TS,0.0,0.8333333333333334
sdmk05,1,EDA-VNS,H-GA-TS,0.0,0.4
sdmk05,2,EDA-TS,EDA,1.0,0.0
sdmk05,2,EDA-TS,NSGA-II,1.0,0.0
sdmk05,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk05,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,2,EDA,NSGA-II,0.25,0.5
sdmk05,2,EDA,EDA-VNS,0.0,0.75
sdmk05,2,EDA,H-GA-TS,0.75,0.5
sdmk05,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,2,NSGA-II,H-GA-TS,0.75,0.5
sdmk05,2,EDA-VNS,H-GA-TS,1.0,0.0
sdmk06,1,EDA-TS,EDA,1.0,0.0
sdmk06,1,EDA-TS,NSGA-II,1.0,0.0
sdmk06,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk06,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk06,1,EDA,NSGA-II,1.0,0.0
sdmk06,1,EDA,EDA-VNS,0.0,0.5
sdmk06,1,EDA,H-GA-TS,0.5,0.0
sdmk06,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk06,1,NSGA-II,H-GA-TS,0.0,0.8
sdmk06,1,EDA-VNS,H-GA-TS,0.0,0.0
sdmk06,2,EDA-TS,EDA,1.0,0.0
sdmk06,2,EDA-TS,NSGA-II,1.0,0.0
sdmk06,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk06,2,EDA-TS,H-GA-TS,1.0,0.0
sdmk06,2,EDA,NSGA-II,0.6,0.0
sdmk06,2,EDA,EDA-VNS,0.5,0.75
sdmk06,2,EDA,H-GA-TS,0.0,0.5
sdmk06,2,NSGA-II,EDA-VNS,0.5,0.6
sdmk06,2,NSGA-II,H-GA-TS,0.0,1.0
sdmk06,2,EDA-VNS,H-GA-TS,0.0,0.5
sdmk07,1,EDA-TS,EDA,1.0,0.0
sdmk07,1,EDA-TS,NSGA-II,1.0,0.0
sdmk07,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk07,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk07,1,EDA,NSGA-II,0.0,0.6
sdmk07,1,EDA,EDA-VNS,0.0,0.8
sdmk07,1,EDA,H-GA-TS,0.0,1.0
